MEblack	MEblue	MEbrown	MEcyan	MEdarkgreen	MEdarkgrey	MEdarkmagenta	MEdarkolivegreen	MEdarkorange	MEdarkred	MEdarkturquoise	MEgreen	MEgreenyellow	MEgrey60	MElightcyan	MElightcyan1	MElightgreen	MElightsteelblue1	MElightyellow	MEmagenta	MEmediumpurple3	MEmidnightblue	MEorange	MEorangered4	MEpaleturquoise	MEpink	MEplum1	MEpurple	MEred	MEroyalblue	MEsaddlebrown	MEsalmon	MEsienna3	MEskyblue	MEskyblue3	MEsteelblue	MEtan	MEturquoise	MEviolet	MEwhite	MEyellow	MEyellowgreen
HR1260	-0.046477194514708	-0.010612577439695	-0.00789434780519665	-0.0205181568788649	-0.00846431106240269	-0.0460215825296974	-0.0190978718376221	-0.0563420155270992	-0.00913639300782467	0.0178047429973609	0.021024218192057	-0.0196258230540626	-0.0292270359756292	-0.0516277537060615	-0.0134519862709283	-0.032516942545801	-0.0136906043982673	-0.019266256173845	-0.0408089051871027	-0.0370322734841485	-0.00516540916630999	-0.0509915623722309	0.00687776170011282	-0.00817511688057093	-0.0440243845085729	-0.0228263720582402	-0.0379330882625023	0.0131525314452119	-0.00380755078244836	-0.013431843973576	-0.0684600865489572	-0.0380247720369495	-0.0319825107959011	0.0150477420661928	-0.0635419112393988	0.0498659987360434	0.0288130113578117	0.0463772724966311	-0.0245819331358629	0.0107566919249305	-0.0412898825815751	-0.0276975915810821
HR1300	0.0241325450594376	0.0640096445433519	0.0465053874624537	0.0447572237590809	-0.056391280850527	-0.00405589267532397	0.0110875968435036	-0.025090125650968	0.0166045492584176	0.042663367573631	-0.0619376506349925	-0.0443854556636969	-0.00698638212441384	-0.0241314249635443	-0.0355551763369109	0.0201243754953412	0.0266792913786125	0.040655011854015	-0.00858141976197992	0.0393899703827555	-0.0193282313653265	-0.0280196815368544	0.0221568570564744	0.000455603832161099	-0.000705105264216916	-0.0276733208263014	-0.0503650573414844	0.0680524287387913	-0.00748720650907245	-0.0700792366809057	-0.0220100770911719	0.0300180642081259	0.00786372158456213	0.0250333430146088	-0.0237722977824644	0.0108501108751775	0.0562588717086704	-0.00845396464175894	-0.0415585926832286	-0.0465183167961077	6.69201644932577e-05	-0.0654085667864549
HR1403	0.00995058964668811	-0.00610804811905879	0.0550411008407623	-0.00375347021088505	-0.032647094143681	-0.0104465150781699	-0.0305023132314405	-0.0373586307516533	0.052171367978185	-0.0553946181397231	0.00325133193451291	-0.018958665315086	-0.0218606685648419	-0.0341799814648783	-0.00639139381083556	-0.00310892314859782	-0.0457688944245605	-0.0223913594901234	-0.017862843656884	0.0398975795960529	-0.0437046176826279	-0.0251367601547103	-0.055273993728265	-0.00617310752035354	-0.0233664796820223	-0.0339637426505492	-0.0176782262046384	-0.0310910118332925	0.0164306038640668	-0.00310361961327613	-0.00334620129347304	-0.013859225096478	-0.0229852006246743	-0.0432755577943119	-0.0366169712312594	0.0146846235406363	-0.00619628363978965	0.0216947331649722	-0.025356613652733	-0.00444399693004021	0.0600424750639099	-0.0117214588949575
HR1435	0.02142832246536	0.020723772830567	0.0155313247113218	0.0290760000850786	0.0168749140787149	-0.0221714293687762	0.038598712621409	-0.0635826919249356	-0.00505631692863358	0.0287481598510561	-0.00308257627951308	0.0181227913601291	-0.0163971195214423	-0.0242675870908979	-0.0242308873105995	0.0184890073421247	0.0340427112341274	0.0352324028647679	0.0300284527717286	0.0184417690103623	0.0227281772984546	-0.062876084266133	0.0376489170538559	-0.0593179055290641	0.010060403427714	0.0428636427392828	0.0129350880005787	0.0112312844991552	-0.023017015021995	0.0147275585933169	0.0323433487481331	0.0297371956511047	0.0190967713146928	0.031820633384707	-0.0532890531192693	-0.0334862029215345	-0.00774189479543539	-0.0308396944128265	0.0303113775869705	-0.013910251690375	-0.0077294976198849	0.0246478525304236
HR1437	0.0129771344069153	0.0391559056854492	0.0384242922065828	0.0306721502508009	-0.0182635496068578	0.0507757265023802	0.0224904419681569	-0.0500382539751331	0.0183518795522662	0.0390332758387615	-0.0310581027568027	-0.0185282030877113	-0.0152407425348044	-0.0410482163367519	-0.0163207156335464	-0.0234216092250667	0.0351790807999682	0.0319262893500304	0.00413308690431264	0.0412042218455417	0.010245032276777	-0.0389176803516725	0.0287919240059008	0.0180294163149224	-0.00579664098206768	0.0110267149876546	-0.0291202885253942	0.0242364195641214	0.000451901492510348	-0.0354050028179507	0.0541460689142708	0.0276849444443209	0.000458792520407369	0.0182695169970577	-0.0528494610844298	-0.0227990869310897	0.0145315126115096	-0.0211372294898647	-0.00898815289699225	-0.0274683348662956	0.00668532975484926	-0.0275371140795371
HR1451	0.0405997052923929	0.0346123638581952	0.0672166136819858	-0.0042511107674084	-0.0602495022903014	0.0142767684023666	-0.00462815958774813	-0.0408884801270188	0.0360045618957768	-0.00176576827525998	-0.0448850504481662	-0.0390400582272832	-0.0018059400226683	-0.0217470023006978	0.0442423571488962	0.0102291647799648	0.00384763050235374	0.0229903488505732	-0.00318785447415186	0.071273215561429	-0.0415834264474372	-0.0271603319330424	-0.0222335041763136	0.00654049666236483	0.00214657808533026	-0.0181782678061834	-0.0328896109631697	-0.000279644424586914	-0.0230650730359762	-0.0357712035213416	-0.0242743081135131	0.0236521030459272	-0.0077659809716132	-0.0359065102721403	-0.0336996893199739	-0.0687312258831992	0.00985883551062738	-0.00243356699164658	-0.0282626922450974	-0.0366560293191478	0.0597480550470616	-0.0313866501935266
HR1455	-0.0326621632192254	-0.0179839751468279	-0.0341222852583144	-0.0309738063351714	0.0341641161948025	-0.0454446869711603	-0.0125930369978141	-0.0211528896825997	-0.0233428164881946	-0.0134699205235309	0.0287985721139725	0.0612948297823891	-0.0156083483610322	0.0316222462547612	-0.051960518025121	0.00514037045328884	-0.0205183852943886	-0.041919939396085	-0.0103534114764053	-0.0574404865497677	0.0228840729825586	-0.0373114146890005	-0.0073151049815933	-0.0304779006489783	-0.0148429595801498	-0.00653259582957768	0.00101365489949517	0.0109763820779214	-0.0248332957455076	0.0150250960056354	-0.0209641866454219	-0.0300237051737683	-0.0114929359470298	0.00921988774163715	0.00793155352662955	0.0011306271128353	0.0150280001260346	0.0365190022905946	0.00606171438901785	0.0579478497342659	-0.0224240440196218	0.0147597118540179
HR1490	0.0294193440799133	-0.00272455691661156	0.0302120428856302	-0.0149555973194204	-0.0172927650183187	0.00770684400679374	0.000695853588098215	0.00448913946814832	0.0336080505386992	-0.0351116615934351	0.00805760601527062	-0.0411089890429158	0.00518004453064274	0.0488196578863609	0.0204419188112699	-0.00931680255813349	-0.0121523597265078	-0.00883770725785908	0.0192432791278901	0.0379883089482332	-0.0462314757846275	-0.0045517263341353	-0.0258556012114287	0.0041380045848342	0.0181878111570569	0.0115037753356639	0.0105606883495654	-0.0337944271932668	-0.0061658749452617	0.00919582003236405	-0.00174905255304893	0.00886508130714887	-0.000655347639166886	-0.0411363910184789	0.0309806857215639	-0.034802283563322	-0.02738326170417	-0.00530251252822892	0.0153123428890073	-0.0439965261128065	0.0552924533505229	0.0192746854836717
HR1551	0.0548199816862314	0.0288657677562246	0.0118238794530612	-0.0332493267061564	-0.0127489394611743	0.0132082637859039	0.0638570956623337	0.0203617682977977	-0.0263485828584322	0.034660219662158	-0.0392725741887003	-0.0357306178264959	0.0064122473192051	0.0371784704443573	0.00347658701306831	0.036950764722298	0.0621182602561721	0.0570191043138957	0.0579207976528045	0.0483144953284032	0.00319534848994154	0.00646899993026323	0.0510954321083808	-0.0218185992321585	0.0462217446481357	0.0563447426379856	0.0110997882380924	-0.0186575125985133	-0.0388344245536895	-0.00706851389679207	0.0369711239713197	0.0648222672241104	0.0674880834259665	0.0395943647239935	0.0289309126777351	-0.0494982989949642	-0.0358172963590423	-0.0521770541683195	0.0363531112026733	-0.0536885015443365	0.00221121552625088	0.00939568372124054
HR1552	0.0339411283324968	0.0361604624458797	0.0824423644702021	-0.00187512464305099	-0.0634141586417733	0.0212563925117215	-0.0303618780949944	0.00142480848424279	0.0590465560467198	-0.0082140968847371	-0.0304886151203099	-0.0557070490879545	0.00598411997482489	-0.0325941986712238	0.0207484864865804	-0.0376097447974717	-0.0109452418409418	0.0119105943655886	-0.01399271446707	0.0739638275083382	-0.0524758584126635	0.0117773508101931	-0.0378723402099363	0.0107234946140087	-0.00515185106264867	-0.0293662830281399	-0.0179916613227124	0.0044289381775053	-0.0136003939699363	-0.022435199876029	0.0172657041327213	0.00984451954633063	-0.0251729019467671	-0.0420111831794082	-0.00803598486346861	-0.0230042269471323	0.0225806907784591	-0.00531915798028585	-0.0295950765395743	-0.0520454447041837	0.0840247178227465	-0.0235058009544722
