wellID	raw_reads	filt_reads	filt_UMI	mapped_reads	pct_mapped_reads	reads_in_gene	pct_reads_in_gene	genes_detected	UMI_in_gene	MT_reads	pct_MT_reads	UMI_in_gene_per_mapped_reads
97570.1.8.69	368900	359036	12796	312112	84.6058079790998	281850	76.4025956709728	3125	8666	42895	11.6280962048944	2.77656738606654
97570.1.8.9	163562	159909	6589	141321	86.4037259797283	128352	78.4741823641823	1663	4068	34368	21.0129428785813	2.87855308128304
97570.2.10.14	308259	303493	11224	278929	90.4844799101296	235018	76.2399338553788	2491	6218	17491	5.67428502122897	2.22924113304819
97570.2.10.21	377200	366368	13526	335499	88.9425475369411	299430	79.3798557319458	3297	8565	29165	7.73162844758821	2.55291371956399
97570.2.10.24	544547	530150	20863	480322	88.203125642243	411606	75.5842383746546	4251	12232	69907	12.837789972416	2.54662497241434
97570.2.10.27	176689	169112	9556	142638	80.7252224421207	128293	72.6061005860473	2929	5823	15365	8.69606797205781	4.08236234383544
97570.2.10.31	240162	229509	9566	202579	84.3517616129594	185609	77.2856709984192	2880	6554	23800	9.90995596871052	3.2352810508493
97570.2.10.34	309417	298919	11450	256240	82.8167138219453	225623	72.921809730035	3133	7618	28240	9.12725760723292	2.97299406806119
97570.2.10.36	248059	240520	9498	206338	83.1822000414009	181392	73.1261077993411	2840	6431	17149	6.91358958290897	3.11673080091888
97570.2.10.39	898250	870022	30252	765533	85.2261320403619	673150	74.941421707826	6199	19741	76550	8.52212342542331	2.5787261946905
97570.2.10.43	287536	275101	10609	233534	81.2197212635686	209024	72.695094218551	3220	7360	17373	6.04224180862169	3.15157535947656
97570.2.10.50	858540	835674	30909	755620	88.0112136804221	643151	74.9112619946816	6182	19214	60054	6.99485803874257	2.54281252481406
97570.2.10.52	457527	441997	16581	402066	87.8766413272862	354829	77.5520832426672	4139	10634	32807	7.17047522020954	2.64483940447588
97570.2.10.54	377484	364557	13271	316752	83.9121686169313	282858	74.9331550668911	3490	8949	56743	15.0319058118008	2.82523867252614
97570.2.10.62	142762	135976	6112	115538	80.9314263924433	105964	74.2251747784004	2089	4166	7530	5.27457548844311	3.60574010282331
97570.2.10.70	624123	598603	21719	523882	83.9425346188248	470721	75.4250271350071	5519	15377	33221	5.32294483522931	2.93520296555331
97570.2.10.71	635414	613222	24390	547503	86.1644103230691	467762	73.615119593276	5293	15269	59224	9.32057182654861	2.78884316615617
97570.2.10.7	835637	803448	28764	713159	85.3455784927592	615429	73.6504264506916	6484	19891	61561	7.36708651642804	2.78913958878735
97570.2.11.12	338018	324805	13435	277501	82.094834807921	247945	73.3508313234454	3777	9338	42246	12.4975747749632	3.36503291880029
97570.2.11.14	467895	460651	16986	428366	91.5490612749386	367165	78.469520038826	3343	9523	51163	10.9342342387491	2.22309893875798
97570.2.11.16	379135	367396	16328	330399	87.1466271915382	293425	77.3943701702889	3837	9619	34963	9.22194970095696	2.91132842411751
97570.2.11.17	270026	261072	10357	235142	87.0800242132769	209409	77.5503455961118	2744	6712	36126	13.3782442745712	2.85444539895042
97570.2.11.1	565187	547865	20511	477383	84.4610813428275	424104	75.0334521642887	4823	13554	33990	6.01423046176416	2.83922971701967
97570.2.11.20	295850	285526	11456	247180	83.5449374677617	219690	74.2529269812699	2979	7303	38409	12.9827521222024	2.95452706529655
97570.2.11.24	1186993	1148623	41310	1027302	86.5426308308668	882048	74.306026055088	7698	26318	89073	7.50364374080061	2.56185620197371
97570.2.11.2	188948	182078	9261	152016	80.4553725742513	133308	70.5542908557388	2699	5515	18434	9.75646150633053	3.62790758867488
97570.2.11.48	377006	366821	14256	327204	86.7899439464889	286238	75.9237949460882	3312	8825	53261	14.1273358269747	2.69709416755296
97570.2.11.56	474411	455119	17888	406359	85.6521524496269	355547	74.9416037582426	4514	11571	28643	6.03758657661958	2.84748215248093
97570.2.11.59	335034	323249	12897	276177	82.4326268472633	243436	72.6598897684205	3557	8609	35848	10.6997939207081	3.1172038221865
97570.2.11.62	255610	241952	11241	204811	80.1275789917917	178924	70.0001065040827	3245	6995	35751	13.9864881241658	3.41534390242712
97570.2.12.17	480701	462712	16856	393627	81.8884170349639	356576	74.1807674253511	4548	12168	49715	10.3426232168418	3.09125136233033
97570.2.12.19	859692	834944	29338	751097	87.3690750111703	645707	75.1100865270105	6085	18796	67286	7.82693588723847	2.50247304941972
97570.2.12.1	369301	360337	13562	318414	86.2185314626095	283461	76.7534385666907	3104	8346	60949	16.5028888919167	2.62111590570766
97570.2.12.20	238678	231110	10742	203160	85.1155099131041	182185	76.3267046518642	2786	6568	46462	19.4672320685666	3.23291986611538
97570.2.12.21	472584	454456	16484	386660	81.8220377459574	342410	72.4588481518214	4537	11666	37131	7.85704070489268	3.01712098484457
97570.2.12.27	264959	256435	10930	223872	84.4938350630268	199789	75.4046092565013	2866	6667	18832	7.10738868952168	2.97804102344197
97570.2.12.32	210459	201168	8536	169350	80.4705140492621	155732	74.0008353677817	2560	5729	42219	20.0617635557686	3.38293475051668
97570.2.12.35	325845	315776	11849	281901	86.5136170887542	248066	76.1298229913128	3146	7542	38750	11.8920096580213	2.67540732384773
