Donor	Treatment	Wash	CBF
HBEC1	BSA	noWash	8.027909855
HBEC1	BSA	noWash	8.414114857
HBEC1	BSA	noWash	10.30980985
HBEC1	BSA	noWash	6.518252024
HBEC1	BSA	noWash	10.50254253
HBEC1	BSA	noWash	10.58609517
HBEC1	BSA	noWash	7.673867504
HBEC1	BSA	noWash	6.569627331
HBEC1	BSA	noWash	10.26846549
HBEC1	BSA	noWash	6.586934703
HBEC1	BSA	noWash	9.696351336
HBEC1	BSA	noWash	10.55827013
HBEC1	BSA	noWash	6.682574857
HBEC1	BSA	noWash	9.360133278
HBEC1	BSA	noWash	9.804022699
HBEC1	BSA	noWash	9.071522685
HBEC1	BSA	noWash	11.57067392
HBEC1	BSA	noWash	8.010415913
HBEC1	BSA	noWash	9.823221706
HBEC1	BSA	noWash	9.932324527
HBEC1	BSA	noWash	12.01145886
HBEC1	BSA	noWash	9.698174793
HBEC1	BSA	noWash	9.079789092
HBEC1	BSA	noWash	9.892522862
HBEC1	BSA	noWash	11.77625917
HBEC1	BSA	noWash	10.29747744
HBEC1	BSA	noWash	6.281924408
HBEC1	BSA	noWash	8.765879776
HBEC1	BSA	noWash	9.937517552
HBEC1	BSA	noWash	11.55257905
HBEC1	BSA	noWash	10.95462371
HBEC1	BSA	noWash	10.9694364
HBEC1	BSA	noWash	4.754151237
HBEC1	BSA	noWash	9.284602017
HBEC1	BSA	noWash	11.88556034
HBEC1	BSA	noWash	11.5325156
HBEC1	BSA	noWash	9.987373822
HBEC1	BSA	noWash	11.39607348
HBEC1	BSA	noWash	6.062711057
HBEC1	BSA	noWash	9.306584998
HBEC1	BSA	noWash	9.696513181
HBEC1	BSA	noWash	8.437472221
HBEC1	BSA	noWash	9.528988998
HBEC1	BSA	noWash	9.018265804
HBEC1	BSA	noWash	6.388725592
HBEC1	BSA	noWash	9.928754257
HBEC1	BSA	noWash	12.28378781
HBEC1	BSA	noWash	10.69531385
HBEC1	BSA	noWash	10.55313195
HBEC1	BSA	noWash	6.382980233
HBEC1	BSA	noWash	10.42498251
HBEC1	BSA	noWash	12.05109648
HBEC1	BSA	noWash	9.014202184
HBEC1	BSA	noWash	11.20408757
