raw_reads	filt_reads	filt_UMI	mapped_reads	pct_mapped_reads	reads_in_gene	pct_reads_in_gene	genes_detected	UMI_in_gene	MT_reads	pct_MT_reads	UMI_in_gene_per_mapped_reads
91497.1.36.0	222770	217559	7693	193951	87.1748028525052	173465	78.0169341444774	2011	4847	8946	4.0166552805346	0.0414225414872771
91497.1.36.12	180672	173118	8153	144282	80.0656423438199	127228	70.67099651496	1919	4134	10349	5.71576873174216	0.0479439287431749
91497.1.36.16	67858	66638	3207	53389	78.7667411365327	47101	69.5471805787864	858	1696	11080	16.3074415108172	0.0567856906864075
91497.1.36.26	16162	15681	652	10402	64.3895102513753	10040	62.1944182933632	175	314	10	0.0646884888176266	0.0520467275480024
91497.1.36.27	44944	44023	1664	33439	74.4474040440777	30016	66.9308515097736	428	876	4200	9.29931005250487	0.0447092423989922
91497.1.36.29	71963	70448	2810	59330	82.5763707016148	52672	73.3641760922329	743	1515	4230	5.94176314544455	0.0434626912797497
91497.1.3.62	437059	429032	12521	178389	40.904492315538	157716	36.2004522862135	2208	4925	3576	0.819958498184711	0.0433646271822329
91497.1.36.30	64973	62695	2481	50764	78.3628963919231	44421	68.6645802870304	782	1496	4724	7.26652062911129	0.0491043508686869
91497.1.36.38	42627	41547	1888	35342	83.0756775971152	27793	65.4286851436955	556	967	2014	4.74123889194697	0.0470854186677361
91497.1.36.39	191154	186279	7164	153668	80.6087745365533	137736	72.2418718619608	1845	4429	9435	4.94826443673587	0.0485231066630266
91497.1.36.41	37486	36974	1304	28034	74.7586050570735	25043	66.8250752167938	343	722	3431	9.11268247840555	0.0430945604399868
91497.1.3.64	536153	523833	15854	317636	59.3194399624886	284189	53.1448659568306	3145	8509	32385	6.04255782654466	0.0429071638523524
91497.1.36.52	190960	184015	7416	151198	79.3839320168759	136043	71.5135574745661	2040	4379	5680	2.98929287531478	0.048205959081185
91497.1.36.53	134636	131499	4943	91277	67.847382513456	80227	59.6862867619558	1098	2526	18508	13.754488042651	0.0466913870090397
91497.1.36.55	174570	171482	7284	141024	80.8773300995966	117821	67.6253272480655	1804	3861	11593	6.67761258004967	0.0471263120772988
91497.1.36.59	264423	259557	9090	202865	76.7263844449994	176677	66.8570291485075	2009	4831	14481	5.46870051342023	0.0400454042242917
91497.1.36.60	179925	176870	6487	139063	77.3351251264592	123833	68.9346679598199	1385	3276	8430	4.68007880081028	0.0399358205638858
91497.1.36.61	518641	510592	18667	452299	87.2865202697542	364940	70.4339824826251	3494	10044	30046	5.79493032697033	0.0375801287738674
91497.1.36.64	106126	104374	3874	75841	71.4697399598736	67984	64.1158684181394	920	2022	9632	9.06892632076136	0.0443929519783652
91497.1.36.66	217850	213725	8702	180744	83.0380195905143	140883	64.7792049552518	1875	4188	7765	3.55607194162558	0.0399308833072062
91497.1.36.6	310303	304553	10229	278655	89.9422497729522	250963	81.0529148609688	2336	6325	21197	6.8616349262771	0.0373797088645375
91497.1.3.70	2501833	2460805	73880	2047895	81.930335552104	1777026	71.1376777638023	9240	43539	123580	4.93813052591641	0.033954604118675
91497.1.37.18	53507	52696	1825	48785	91.2623177976559	45678	85.5062501626507	511	1114	4547	8.49269081756794	0.0378034112355183
91497.1.3.71	712833	701922	19844	437752	61.4929559921244	393546	55.3311879774883	3171	10176	101989	14.3132636993014	0.0370855541655579
91497.1.37.25	145158	143748	5621	128234	88.4387024682514	102283	70.5528403687946	1249	2854	5724	3.95805335348204	0.0382077220437827
91497.1.37.2	129122	126912	5956	116500	90.3135184971138	95049	73.6654538075985	1424	3109	9123	7.07165443120132	0.0474084676914547
91497.1.37.31	86261	85065	3426	78082	90.5850772033054	67351	78.1803127229999	824	1795	2333	2.71649134501807	0.0395791874303497
91497.1.37.33	112652	110669	3762	87684	77.9003391793934	79478	70.6635137090908	874	1988	5864	5.20091597566644	0.0386963554703654
91497.1.37.46	208151	204818	7067	176637	84.9521826996533	145440	70.023329833225	1528	3849	21552	10.3904229960879	0.03589406104853
91497.1.37.51	53227	52314	2172	37889	71.3280664738077	33570	63.2034242468502	515	1078	3487	6.54474844816734	0.048150154445986
91497.1.37.53	203072	199694	7224	171227	84.4213981268935	144378	71.2421140483888	1658	3903	11479	5.63916606081983	0.0380430816834662
