gene	module	cor
AGPAT5	turquoise	0.764488533859958
AGPS	grey	-0.132501038260685
AGR2	grey	0.0529339591288395
AGR3	turquoise	0.631618534004567
AGRN	magenta	0.686373794234833
AGT	grey	-0.136596346952616
AGTPBP1	turquoise	0.318397612672612
AGTRAP	turquoise	0.5546278049296
AHCTF1	turquoise	0.291706103425941
AHCTF1P1	grey	0.0284582841993603
AHCY	cyan	0.77591319180755
AHCYL1	grey	0.0161158877976668
AHCYL2	grey	0.545477382777418
AHDC1	turquoise	0.522624698034272
AHI1	grey	-0.157286994148367
AHNAK	turquoise	0.390024194859032
AHNAK2	turquoise	0.322438517233986
AHR	lightyellow	0.81402463781354
AHRR	grey	0.446084046653234
AHSA1	turquoise	0.733487134750075
AHSA2	green	0.940073286248976
AHSG	skyblue	0.86514789957301
AIDA	grey	0.192981678830976
AIF1	darkolivegreen	0.900664560357205
AIF1L	grey	0.0601834921059388
AIFM1	grey	0.0567484966191829
AIFM2	grey	0.544583010892618
AIFM3	grey	-0.146660614092409
AIG1	turquoise	0.53517015284829
AIM1	grey	0.43812761493385
AIM1L	grey	0.465849236792111
AIM2	greenyellow	0.894059010879162
AIMP1	grey	-0.0885465219370941
AIMP2	brown	0.604219533254547
AIP	grey	0.519679170011425
AJAP1	yellow	0.505469156603879
AJUBA	red	0.724478813558384
AK1	turquoise	0.606728011107425
AK2	grey	0.494344872699447
AK3	grey	0.108879938064064
AK4	grey	0.352532842334308
AK6	grey	0.20696599349888
AK7	turquoise	0.920822502121909
AK8	turquoise	0.87004839583667
AK9	turquoise	0.858738235254958
AKAP1	grey	0.108209322038197
AKAP10	grey	0.358831600945861
AKAP11	lightcyan	0.720217939454238
AKAP12	grey	0.375157083758117
AKAP13	grey	0.62561702963172
AKAP14	turquoise	0.890391556740233
AKAP17A	grey	0.320943702651181
AKAP3	turquoise	0.649991917055125
AKAP5	grey	0.624606261499815
AKAP6	turquoise	0.909694948321128
AKAP7	grey	-0.127263712669997
AKAP8	grey	0.261198038501612
AKAP8L	turquoise	0.352484191397106
AKAP9	turquoise	0.745652178594611
AKIP1	grey	0.30969253072506
AKIRIN1	turquoise	0.391474827349222
AKIRIN2	grey	0.885782405846791
AKNA	turquoise	0.390076431129269
AKR1A1	blue	0.660471505850826
AKR1B1	grey	-0.28356642215491
AKR1B10	grey	0.270964777035596
AKR1B15	grey	0.185647338317404
AKR1C1	grey	0.189371104477154
AKR1C2	yellow	0.500629963430987
AKR1C3	brown	0.585337164648948
AKR1C4	turquoise	0.372687373804361
AKR1C8P	turquoise	0.414127396605963
AKR1E2	grey	-0.027033909155812
AKR7A2	turquoise	0.411733658222851
AKR7A2P1	turquoise	0.305413819666956
AKR7A3	turquoise	0.321021963903249
AKR7L	grey	-0.370214864061458
AKT1	lightsteelblue1	0.89174977238247
AKT1S1	grey	0.173093078505902
AKT2	blue	0.590210263867925
AKT3	grey	-0.264111433775361
AKTIP	grey	-0.290462847478449
ALAD	yellow	0.652137525376415
ALAS1	magenta	0.471047360714836
ALB	turquoise	0.37072283947265
ALCAM	turquoise	0.430499723058824
ALDH16A1	blue	0.619661800743317
ALDH18A1	grey	-0.164933107805298
ALDH1A1	brown	0.590769934241064
ALDH1A2	grey	0.534149843029977
ALDH1A3	grey	0.39796031269864
ALDH1B1	grey	-0.323490288113417
ALDH1L1	turquoise	0.382574893098343
ALDH1L1-AS1	turquoise	0.401531216522876
ALDH1L1-AS2	grey	0.0220444731282903
ALDH1L2	grey	-0.398094651769043
ALDH2	brown	0.752491224926848
ALDH3A1	brown	0.696340748012205
ALDH3A2	darkorange	0.82701261648042
ALDH3B1	turquoise	0.855083414785637
ALDH3B2	magenta	0.476191133065784
ALDH4A1	grey	-0.345871303087375
ALDH5A1	turquoise	0.550548819141866
ALDH6A1	grey	-0.527051812709867
ALDH7A1	darkorange	0.748441898706934
ALDH9A1	turquoise	0.675274842001519
ALDOA	grey	0.44951869928097
ALDOB	grey	0.542255286677782
ALDOC	grey	-0.0857890945560461
ALG1	purple	0.665522566558217
ALG10	darkturquoise	0.76431418416464
ALG10B	darkturquoise	0.879594197924407
ALG11	grey	0.369994599834487
ALG12	blue	0.501505864241488
ALG13	darkgreen	0.746781215801338
ALG14	grey	-0.162073401267552
ALG1L	turquoise	0.252519323451269
